
10Bet,2.40,3.15,3.35
12BET,2.40,3.10,3.20
188BET,2.42,3.15,3.22
18bet,2.40,3.10,3.30
1xBet,2.47,3.16,3.44
5Dimes,2.47,3.10,3.43
888sport,2.35,3.05,3.30
Asianodds,2.43,3.15,3.43
Babibet,2.40,3.10,3.30
bet-at-home,2.45,3.00,3.30
bet365,2.45,3.10,3.40
BetCity,2.45,3.10,3.40
Betclic,2.50,3.10,3.50
Betcruise,2.44,3.18,3.28
Betfair,2.50,3.00,3.40
Betfred,2.45,3.00,3.50
Bethard,2.40,3.10,3.30
BetOlimp,2.46,3.13,3.41
Betsafe,2.45,3.10,3.30
Betsson,2.45,3.10,3.30
BetVictor,2.45,3.10,3.30
Betway,2.40,3.10,3.40
BoyleSports,2.40,3.00,3.40
bwin,2.40,3.10,3.40
ComeOn,2.45,3.05,3.40
Coolbet,2.47,2.99,3.55
Dafabet,2.40,3.10,3.20
Expekt,2.50,3.10,3.50
Intertops,2.35,2.95,3.25
Interwetten,2.40,3.00,3.40
Island Casino,2.47,3.10,3.43
Jetbull,2.40,3.10,3.30
Ladbrokes,2.40,2.90,3.30
Leonbets,2.42,3.04,3.37
Marathonbet,2.45,3.16,3.44
Marsbet,2.46,3.16,3.27
NightRush,2.40,3.10,3.30
NordicBet,2.45,3.10,3.30
Oddsring,2.47,3.04,3.37
Pinnacle,2.43,3.15,3.43
SBOBET,2.42,3.10,3.15
ScandiBet,2.40,3.10,3.30
Sportingbet,2.40,3.10,3.40
Titanbet,2.45,3.00,3.35
TonyBet,2.47,3.05,3.40
Unibet,2.47,3.10,3.40
Vernons,2.45,3.00,3.35
Vulkanbet,2.23,3.33,3.42
William Hill,2.38,3.00,3.30
youwin,2.35,3.05,3.30
