
10Bet,3.00,2.90,2.85
12BET,2.82,2.91,2.85
188BET,3.00,2.90,2.81
18bet,3.00,2.90,2.85
1xBet,3.01,2.95,2.94
5Dimes,3.01,2.92,2.90
888sport,3.00,2.75,2.75
Asianodds,3.05,2.91,2.87
Babibet,3.00,2.90,2.85
bet-at-home,2.95,2.85,2.85
bet365,3.00,2.87,2.87
BetCity,3.00,2.85,2.90
Betclic,3.05,2.95,2.90
Betcruise,2.98,2.90,2.94
Betfair,3.00,2.90,2.88
Betfred,3.00,2.90,2.90
Bethard,2.95,2.85,2.90
BetOlimp,3.09,2.88,2.86
Betsafe,3.00,2.90,2.90
Betsson,3.00,2.90,2.90
BetVictor,3.00,2.90,2.80
Betway,3.00,2.80,2.88
BoyleSports,2.90,2.90,2.80
bwin,3.00,2.90,2.85
ComeOn,3.00,2.90,2.85
Coolbet,3.10,2.91,2.99
Dafabet,2.82,2.91,2.85
Expekt,3.05,2.95,2.90
Intertops,2.95,2.70,2.75
Interwetten,2.80,3.00,2.80
Island Casino,3.01,2.92,2.90
Jetbull,3.10,2.90,2.90
Ladbrokes,2.90,2.75,2.87
Leonbets,2.94,2.84,2.84
Marathonbet,3.00,2.95,2.91
Marsbet,2.98,2.90,2.86
NightRush,2.95,2.85,2.90
NordicBet,3.00,2.90,2.90
Oddsring,2.94,2.90,2.90
Pinnacle,3.05,2.91,2.87
SBOBET,2.89,2.86,2.83
ScandiBet,2.95,2.85,2.90
Sportingbet,2.95,2.88,2.80
Titanbet,3.00,2.90,2.85
TonyBet,3.05,2.85,2.85
Unibet,3.10,2.85,2.85
Vernons,3.00,2.90,2.85
Vulkanbet,2.78,2.91,2.95
William Hill,3.00,2.80,2.80
youwin,2.90,2.80,2.75
